index,brewery_id,brewery_inBusiness,beer_name,beer_style,abv,ibu_max,ibu_min,beer_id
1491,ajREdT,Y,Little Foot,American-Style Pale Ale,3.5,42,30,rWRuGr
1492,ajREdT,Y,"March IPA of the Month ""Celtic Kelly""",American-Style India Pale Ale,6.7,70,50,i5VlKv
1493,ajREdT,Y,"May IPA of the Month - ""Maya Bonita""",American-Style India Pale Ale,6.4,70,50,Knndwh
1494,ajREdT,Y,"November IPA of the Month - ""NovAmber""",American-Style India Pale Ale,6.9,70,50,sFzINW
1495,ajREdT,Y,"October IPA of the Month - ""BrewHilda""",American-Style India Pale Ale,6.8,70,50,UZi6Wx
1496,ajREdT,Y,Oktoberfest,German-Style Märzen,5.8,25,18,cPC8b4
1497,ajREdT,Y,People's BBL Aged Porter,Robust Porter,6,40,25,EJcYJn
1498,ajREdT,Y,People's Porter,Robust Porter,6.25,40,25,frPfNa
1499,ajREdT,Y,Pilot Mountain Pale Ale,American-Style Pale Ale,5.5,42,30,RDy34i
1500,rBxNNF,Y,Rabbit's Foot Bourbon Barrel-Aged Imperial Stout,American-Style Imperial Stout,10.13,80,50,siJW75
1501,ajREdT,Y,Rainbow Trout ESB,Extra Special Bitter,4.5,45,30,Woa5pt
1502,ajREdT,Y,Salem Gold,Golden or Blonde Ale,3.75,25,15,ouFEvH
1503,ajREdT,Y,Sauvignon Blanc Wood Age Jade IPA,American-Style India Pale Ale,7.4,70,50,IlokET
1504,ajREdT,Y,Scottish Ale,Scottish-Style Heavy Ale,NaN,20,12,TMMZ3N
1505,ajREdT,Y,Seeing Double IPA,Imperial or Double India Pale Ale,9.5,100,65,IB8TX1
1506,ajREdT,Y,"September IPA of the Month - ""Katie Kickoff""",American-Style India Pale Ale,6,70,50,qtmdUj
1507,ajREdT,Y,Sexual Chocolate,American-Style Imperial Stout,10,80,50,gssG96
1508,ajREdT,Y,Stout,American-Style Stout,7,60,35,uUrHgS
1509,ajREdT,Y,Tangled Vine Berry Rosé Ale,Fruit Beer,4.5,70,5,MmogOD
1510,ajREdT,Y,Thousand Smiles Golden Ale,Golden or Blonde Ale,4.4,25,15,Edngvu
1511,ajREdT,Y,Topaz American Pale Ale - Hop of The Month,American-Style Pale Ale,7.2,42,30,5MhWbD
1512,ajREdT,Y,Torch Pilsner,Bohemian-Style Pilsener,5.3,45,30,3XgrE9
1513,nLP1fR,Y,18mo BBA English Breakfast Stout Nitro,American-Style Imperial Stout,9.5,80,50,uqjJmM
1514,nLP1fR,Y,3 Lions- Best Bitter Ale,Ordinary Bitter,4,35,20,rX3W7Y
1515,nLP1fR,Y,Anarchy Doppelbock,German-Style Doppelbock,7.5,27,17,TqmKGz
1516,nLP1fR,Y,Barley Wine,American-Style Barley Wine Ale,8.7,100,60,j5jxgk
1517,nLP1fR,Y,Beer Barrel Aged Ale,Strong Ale,9.2,65,30,KnwkjI
1518,nLP1fR,Y,Bespoke Blonde Ale,Golden or Blonde Ale,5,25,15,0Zt5fF
1519,nLP1fR,Y,Blonde Ale,Golden or Blonde Ale,5,25,15,RIglrM
1520,nLP1fR,Y,Carolina Amber,Extra Special Bitter,5.5,45,30,FDKhy7
1521,nLP1fR,Y,Classic Session Ale,Classic English-Style Pale Ale,3.9,40,20,s7C229
1522,nLP1fR,Y,Coffee Amber,American-Style Amber/Red Ale,5.5,40,30,IFrCJf
1523,nLP1fR,Y,Electric Overdrive,Berliner-Style Weisse (Wheat),3.5,6,3,iUDwZr
1524,nLP1fR,Y,English IPA,English-Style India Pale Ale,5.5,63,35,GCW55l
1525,nLP1fR,Y,English Session Ale,Ordinary Bitter,3.3,35,20,3cPa0n
1526,nLP1fR,Y,ESB,Extra Special Bitter,5.4,45,30,fw8OAE
1527,nLP1fR,Y,Imperial Blonde Ale,Belgian-Style Blonde Ale,7.1,30,15,Cn6853
1528,nLP1fR,Y,No Flocky For Kitty,South German-Style Hefeweizen / Hefeweissbier,7,15,10,6AV8QQ
1529,nLP1fR,Y,Nut Brown Ale,English-Style Brown Ale,4.5,25,15,DT9Bol
1530,nLP1fR,Y,Offbeat Wheat,American-Style Wheat Beer,5.1,35,10,uZa0T6
1531,nLP1fR,Y,Pendragon Porter,Robust Porter,4.8,40,25,ctbtog
1532,nLP1fR,Y,Porter,Robust Porter,4.8,40,25,WtIocX
1533,nLP1fR,Y,X-Pat IPA,English-Style India Pale Ale,6.1,63,35,9D1cly
1534,apcbMr,Y,Campfire,American-Style Stout,6,60,35,EvCXSp
1535,apcbMr,Y,Dank Mofo,Imperial or Double India Pale Ale,10.6,100,65,leJIr5
1536,apcbMr,Y,Friends in Low Places,American-Style India Pale Ale,7.7,70,50,X0rgYD
1537,apcbMr,Y,Holy Water,Specialty Beer,4.7,100,NaN,RQFdn2
1538,apcbMr,Y,Mr./Mrs. Precursor,American-Style India Pale Ale,7.4,70,50,Ny270W
1539,apcbMr,Y,Mrs. Mango,American-Style India Pale Ale,7.4,70,50,9KaUhe
1540,apcbMr,Y,Pacific Gem,American-Style Pale Ale,6.4,42,30,g3hG5u
1541,apcbMr,Y,Perkalicious,Robust Porter,5.5,40,25,cbTjJO
1542,apcbMr,Y,Pumpkin' to Talk About,Pumpkin Beer,6.6,70,5,INQ4FL
1543,apcbMr,Y,Stone Chaser 3.0,Golden or Blonde Ale,4.9,25,15,3jyRwT
1544,apcbMr,Y,Tiramisu,Robust Porter,5.3,40,25,0Hkv9x
1545,apcbMr,Y,Weekend @ Garrett's,American-Style Imperial Stout,8.7,80,50,rEvLcG
1546,apcbMr,Y,Weis Weis Baby,South German-Style Hefeweizen / Hefeweissbier,4,15,10,uh8sOm
1547,cESRYF,Y,Ginger-Apricot Honey Wine,Other Fruit Melomel,12,NaN,NaN,0Rnrbd
1548,cESRYF,Y,Traditional Mead,Semi-Sweet Mead,13,NaN,NaN,clWfl4
1549,zeWbuM,Y,Abundance,American-Style India Pale Ale,6.7,70,50,neSCIv
1550,zeWbuM,Y,Aicha,Wood- and Barrel-Aged Sour Beer,6.4,NaN,NaN,BUu9h9
1551,zeWbuM,Y,Amorous - Royal Cache Barrel Reserve Series,Wood- and Barrel-Aged Sour Beer,7,NaN,NaN,dHnbxN
1552,zeWbuM,Y,Angel of Darkness,American-Style Sour Ale,11,NaN,NaN,QunAJY
1553,zeWbuM,Y,Appalachia,Session India Pale Ale,4.7,NaN,NaN,nocxqa
1554,zeWbuM,Y,Arcanic,Belgian-Style Dark Strong Ale,12.1,50,20,x7i8Fx
1555,zeWbuM,Y,Artist Formerly Known As...,American-Style Pale Ale,6.4,42,30,r2675O
1556,zeWbuM,Y,Astronomical,American-Style India Pale Ale,7.7,70,50,xPLEJv
1557,zeWbuM,Y,Aye-Aye Stout,American-Style Imperial Stout,8.5,80,50,bEbbW4
1558,zeWbuM,Y,Barrel Aged French Toast,American-Style Imperial Stout,10,80,50,T2jBE7
1559,zeWbuM,Y,Barrel Aged Xibalba,Pumpkin Beer,9.6,70,5,JDuiQz
1560,zeWbuM,Y,Barrel-Aged El Paraiso,Imperial or Double India Pale Ale,10.3,100,65,4AFhZD
